measure,sex,age,cps,val
Log Koc,Lake,L1,Log Koc SCCPs,3.46
Log Koc,Estuary,R1,Log Koc SCCPs,3.12
Log Koc,Lake,L1,Log Koc MCCPs,3.21
Log Koc,Estuary,R1,Log Koc MCCPs,3.93
Log Koc,Lake,L2,Log Koc SCCPs,3.19
Log Koc,Estuary,R2,Log Koc SCCPs,2.45
Log Koc,Lake,L2,Log Koc MCCPs,3.96
Log Koc,Estuary,R2,Log Koc MCCPs,3.8
Log Koc,Lake,L3,Log Koc SCCPs,4.06
Log Koc,Estuary,R3,Log Koc SCCPs,3.7
Log Koc,Lake,L3,Log Koc MCCPs,6.44
Log Koc,Estuary,R3,Log Koc MCCPs,5.2
Log Koc,Lake,L4,Log Koc SCCPs,4.26
Log Koc,Estuary,R4,Log Koc SCCPs,2.97
Log Koc,Lake,L4,Log Koc MCCPs,6.23
Log Koc,Estuary,R4,Log Koc MCCPs,4.41
Log Koc,Lake,L5,Log Koc SCCPs,4.72
Log Koc,Estuary,R5,Log Koc SCCPs,3.1
Log Koc,Lake,L5,Log Koc MCCPs,5.83
Log Koc,Estuary,R5,Log Koc MCCPs,4.76
Log Koc,Lake,L6,Log Koc SCCPs,4.82
Log Koc,Estuary,R6,Log Koc SCCPs,3.24
Log Koc,Lake,L6,Log Koc MCCPs,3.96
Log Koc,Estuary,R6,Log Koc MCCPs,4.61
Log Koc,Lake,L7,Log Koc SCCPs,4.69
Log Koc,Estuary,R7,Log Koc SCCPs,4.19
Log Koc,Lake,L7,Log Koc MCCPs,4.55
Log Koc,Estuary,R7,Log Koc MCCPs,4.63
Log Koc,Lake,L8,Log Koc SCCPs,4.52
Log Koc,Estuary,R8,Log Koc SCCPs,3.36
Log Koc,Lake,L8,Log Koc MCCPs,3.78
Log Koc,Estuary,R8,Log Koc MCCPs,4.23
Log Koc,Lake,L9,Log Koc SCCPs,3.85
Log Koc,Estuary,R9,Log Koc SCCPs,3.5
Log Koc,Lake,L9,Log Koc MCCPs,4.17
Log Koc,Estuary,R9,Log Koc MCCPs,4.7
Log Koc,Lake,L10,Log Koc SCCPs,3.71
Log Koc,Estuary,R10,Log Koc SCCPs,3.96
Log Koc,Lake,L10,Log Koc MCCPs,4.24
Log Koc,Estuary,R10,Log Koc MCCPs,5.97
Log Koc,Lake,L11,Log Koc SCCPs,3.15
Log Koc,Estuary,R11,Log Koc SCCPs,3.6
Log Koc,Lake,L11,Log Koc MCCPs,4.22
Log Koc,Estuary,R11,Log Koc MCCPs,4.98
Log Koc,Lake,L12,Log Koc SCCPs,3.88
Log Koc,Estuary,R12,Log Koc SCCPs,3.2
Log Koc,Lake,L12,Log Koc MCCPs,4.44
Log Koc,Estuary,R12,Log Koc MCCPs,4.64
Log Koc,Lake,L13,Log Koc SCCPs,2.94
Log Koc,Estuary,R13,Log Koc SCCPs,2.85
Log Koc,Lake,L13,Log Koc MCCPs,3.96
Log Koc,Estuary,R13,Log Koc MCCPs,4.58
Log Koc,Lake,L14,Log Koc SCCPs,3.48
Log Koc,Estuary,R14,Log Koc SCCPs,3.22
Log Koc,Lake,L14,Log Koc MCCPs,4.04
Log Koc,Estuary,R14,Log Koc MCCPs,4.58
Log Koc,Lake,L15,Log Koc SCCPs,3.31
Log Koc,Lake,L15,Log Koc MCCPs,3.52
Log Koc,Lake,L16,Log Koc SCCPs,3.06
Log Koc,Lake,L16,Log Koc MCCPs,2.72
Log Koc,Estuary,R1,Log Kd MCCPs,4.45 
Log Koc,Estuary,R2,Log Kd MCCPs,4.25 
Log Koc,Estuary,R3,Log Kd MCCPs,5.78 
Log Koc,Estuary,R4,Log Kd MCCPs,5.23 
Log Koc,Estuary,R5,Log Kd MCCPs,5.55 
Log Koc,Estuary,R6,Log Kd MCCPs,5.16 
Log Koc,Estuary,R7,Log Kd MCCPs,5.13 
Log Koc,Estuary,R8,Log Kd MCCPs,4.77 
Log Koc,Estuary,R9,Log Kd MCCPs,5.12 
Log Koc,Estuary,R10,Log Kd MCCPs,6.69 
Log Koc,Estuary,R11,Log Kd MCCPs,5.61 
Log Koc,Estuary,R12,Log Kd MCCPs,5.34 
Log Koc,Estuary,R13,Log Kd MCCPs,5.07 
Log Koc,Estuary,R14,Log Kd MCCPs,5.06 
Log Koc,Estuary,R1,Log Kd SCCPs,3.63 
Log Koc,Estuary,R2,Log Kd SCCPs,2.91 
Log Koc,Estuary,R3,Log Kd SCCPs,4.28 
Log Koc,Estuary,R4,Log Kd SCCPs,3.79 
Log Koc,Estuary,R5,Log Kd SCCPs,3.89 
Log Koc,Estuary,R6,Log Kd SCCPs,3.79 
Log Koc,Estuary,R7,Log Kd SCCPs,4.70 
Log Koc,Estuary,R8,Log Kd SCCPs,3.90 
Log Koc,Estuary,R9,Log Kd SCCPs,3.92 
Log Koc,Estuary,R10,Log Kd SCCPs,4.68 
Log Koc,Estuary,R11,Log Kd SCCPs,4.23 
Log Koc,Estuary,R12,Log Kd SCCPs,3.89 
Log Koc,Estuary,R13,Log Kd SCCPs,3.34 
Log Koc,Estuary,R14,Log Kd SCCPs,3.70 
Log Koc,Lake,L1,Log Kd SCCPs,4.18 
Log Koc,Lake,L2,Log Kd SCCPs,3.87 
Log Koc,Lake,L3,Log Kd SCCPs,4.50 
Log Koc,Lake,L4,Log Kd SCCPs,4.59 
Log Koc,Lake,L5,Log Kd SCCPs,5.09 
Log Koc,Lake,L6,Log Kd SCCPs,5.21 
