TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.G3.AAUZ.01A.11R.A38B.07	TCGA.EP.A26S.11A.12R.A16W.07
ENSG00000000003	19.9400391346335	15.4096619047492	13.0264574206912	21.3895139139568
ENSG00000000005	0.100496076415327	0.0301280299711198	0.0518670989260641	0.0113960221048956
ENSG00000000419	14.8356791808576	30.8902094442308	11.3457007946821	15.0358389290549
ENSG00000000457	2.67479213694146	3.77170837808628	1.10584610415085	1.22285190685294
ENSG00000000460	0.733846349047738	1.94528145753827	0.50499459004133	0.511562329592296
ENSG00000000938	0.714980422001382	2.02520197947678	0.950092230578231	2.48822893049196
ENSG00000000971	261.456307801735	506.471231113072	69.9637537438709	134.930427173742
ENSG00000001036	27.8866694676569	40.1530807928555	8.46999705549573	26.2050173936119
ENSG00000001084	15.5368238768512	24.3974147639249	11.1409068469944	22.9869571333665
ENSG00000001167	3.0542658899739	4.64704505527517	2.05318948361375	2.25025236482073
ENSG00000001460	0.369067497387304	0.99914783702927	0.577211149119013	0.246035495187858
ENSG00000001461	1.13548556692313	1.61925106164796	1.26288168783907	1.0857720677609
ENSG00000001497	6.10127994842437	4.16202671556656	6.14665147796886	3.78770057429473
ENSG00000001561	10.8279228521405	6.33180938634068	0.955666073869706	1.55512700186363
ENSG00000001617	5.70712380829029	6.03742106331574	2.31378373448711	1.3445177947087
ENSG00000001626	0.0329168900000299	0.0197365127844078	0.120808950575342	0.345896775959763
ENSG00000001629	3.72314330593003	3.27056833427814	1.18015206343364	1.61601253040703
ENSG00000001630	7.50373834619996	1.8851136509967	0.872632969979437	2.590748944286
ENSG00000001631	3.65233700900372	3.27848261966075	0.816716200309108	1.97390015469307
ENSG00000002016	1.29754979201109	1.35613448424498	0.810987792019106	0.523761337243507
ENSG00000002079	0.00534494146489204	0.00640950621724332	0.0257467597836033	0
ENSG00000002330	21.2837139814886	27.022134746569	63.1273101217543	22.644920283965
ENSG00000002549	38.1255230197545	36.4585920753091	26.0790726520207	54.3486644839689
ENSG00000002586	119.513586641346	60.9819881696081	136.20390442012	93.332826066053
ENSG00000002587	0.046077907779895	0.175812492167418	0.11242069368771	0.0570013955863099
ENSG00000002726	1.83496699527439	0.0128680804246665	0.029537499399043	2.29254158369135
ENSG00000002745	0.0427595317191364	0.0128190124344866	0.00735621708102953	0.00484883177580399
ENSG00000002746	0.0106223749858006	0.0297221371349653	0.00487317443511207	0.0128485621290013
ENSG00000002822	20.0091770481024	7.10796881752277	30.9673054600983	8.15766582545295
ENSG00000002834	83.3207796787468	50.6305099784049	27.5614198426302	25.2600581690659
ENSG00000002919	5.26834041575304	4.87108401146678	9.23290029925352	4.5839237557013
ENSG00000002933	343.301738826142	881.963338983533	208.350136385999	308.399895221078
ENSG00000003056	10.2656505039208	8.60695286401368	1.58757360816618	9.89416615400558
ENSG00000003096	0.309212533750046	0.681059630804662	0.369114854265615	0.349208662354442
ENSG00000003137	0.135076113698348	0.0426261962503481	0.0684911690946744	0.0483704784397353
ENSG00000003147	6.32309619608385	5.23552353535154	2.1002658174703	2.7625617377187
ENSG00000003249	11.2020426583556	29.5194833941262	3.58188188779438	0.728895727444378
ENSG00000003393	4.06082651823968	3.59454061134062	2.16378076620018	4.85063001805197
ENSG00000003400	2.34942636540699	1.83741340679132	1.97212511011639	1.08369672485655
ENSG00000003402	3.32696158346676	3.57441805961889	3.61955662236067	2.92975557025955
ENSG00000003436	33.3173374503918	26.9117746207699	46.5468835255067	20.5037807662987
ENSG00000003509	1.56101765233497	3.214835042073	2.00830662734767	2.21654545882066
ENSG00000003756	4.49865335587659	5.77537596751939	4.45604814484935	2.38018583907527
ENSG00000003987	0.384469275200348	0.534392997064364	0.198428701319999	0.194208936707611
ENSG00000003989	58.9621486477964	9.91370360179435	34.8371660356213	60.1041170737789
ENSG00000004059	65.5432213686481	47.9071215237523	67.1335098170335	36.2420388183322
ENSG00000004139	0.127267572181705	0.133049635509283	0.125754277682025	0.099172696779173
ENSG00000004142	76.5766361661421	81.1583644056497	103.580218675841	84.9512035127574
ENSG00000004399	6.16009853290946	7.11974528170632	7.5023801577454	4.31277749716699
ENSG00000004455	26.1360840942456	28.4279974890879	24.4927935009134	24.1995228539918
ENSG00000004468	0.0771583981193361	0.391457086666041	0.486035956832391	0.223450901318239
ENSG00000004478	23.779507086849	21.4138202176216	30.5503281440111	21.8176537838576
ENSG00000004487	5.08080106243024	7.00271345594507	8.68787754063155	4.97834424689711
ENSG00000004534	6.20072296005652	5.70974941359243	7.14202595176595	2.69260540139253
ENSG00000004660	0.12082474656758	0.382922778055205	0.314764187573627	0.191817446465958
ENSG00000004700	2.22638035848392	1.53650511359197	0.487763690440841	1.2324480837218
ENSG00000004766	3.29020842859085	3.31958786017912	0.75875224005439	1.1731763697557
ENSG00000004776	3.1499892421938	11.2086965652531	6.20545081851407	5.37903402246644
ENSG00000004777	0.77344938925408	1.37690595565571	0.921830420922489	0.0578687787568814
ENSG00000004779	49.2261861538299	85.7882206453808	71.7781260820066	50.7952768599423
ENSG00000004799	52.8322712062225	33.324549920567	14.8118665191141	84.9287814401714
ENSG00000004809	0	0.019843301589439	0	0.0150115824874128
ENSG00000004838	0.151013052672789	0.19502073544151	0.599534232234113	0.0105381723746237
ENSG00000004846	0	0.0138845059822163	0	0.00262592903088198
ENSG00000004848	0	0	0	0
ENSG00000004864	63.9201248379967	26.9574795539241	14.9256676650789	28.3864557104094
ENSG00000004866	16.2693233305287	14.0408778960025	11.0918837698882	12.5011296296416
ENSG00000004897	4.62774817115399	4.08908155373586	4.46159574938321	3.02502407140553
ENSG00000004939	0.0203269254260003	0.0650013005137231	0.00466264152145014	0.00614673659555091
ENSG00000004948	0	0	0.0125270644772727	0.0123857740247201
