"","pH","N_P","C_N","AK","AP","AN","TK","TP","TN","SOM","OTUID"
"OTU1",0.03312,12.2520833333333,2.95994978703704,51.4916867367725,28.2354108253968,15.4945330899471,0,0.120630805555556,0,0,"OTU1"
"OTU2",0.124933333333333,10.6766666666667,10.5977616296296,3.21536251190476,8.34365666666667,18.0111006640212,0,3.083896,0,0.151889861111111,"OTU2"
"OTU3",0.103066666666667,12.5983333333333,4.15118755555555,25.9693346838624,22.1816708611111,25.3870435701058,2.9308595515873,2.89338645634921,0,0,"OTU3"
"OTU4",0.0888,7.80916666666667,0,64.9986228148149,35.2071400357143,22.4128663862434,4.78744666666667,0,0,0,"OTU4"
"OTU5",0.146,4.97416666666667,0.300458222222223,28.9441060092593,11.9607129166667,23.2205926111111,0,5.14328027777778,4.73658722222222,2.11013288888889,"OTU5"
"OTU6",0.0321333333333333,10.7358333333333,0,3.01263833333333,14.6735723849206,15.8290583505291,72.3330744351852,122.856747526455,126.657777824074,61.751834037037,"OTU6"
"OTU7",0.144266666666667,5.0775,0.0865861111111109,3.92005691005291,15.772516228836,19.2178265185185,117.248693046296,200.376728510582,148.176361981481,121.21576796164,"OTU7"
"OTU8",0.126666666666667,11.2316666666667,1.03774755555556,11.0996045277778,18.166405712963,23.9852143518519,113.638291198413,235.975444675926,198.327246199735,116.194351796296,"OTU8"
"OTU9",0.104666666666667,14.0425,1.40201925925926,4.6496712037037,14.5762723055556,19.4427087777778,83.70934675,127.362538601852,112.017010477513,80.6006086388889,"OTU9"
"OTU10",0.0950666666666666,6.305,1.45884781481482,5.22307819444444,21.2586692592593,25.8574470224868,117.960941410053,166.32004375,158.966174181217,91.9523967222222,"OTU10"
"OTU11",0.0177333333333333,0,0,0,1.79852013888889,2.80261106349206,0,0,0,0,"OTU11"
"OTU12",0,0,0,0.605163472222222,0,0,0,0,3.56921465740741,5.90692205555556,"OTU12"
"OTU13",0.00266666666666667,0,0,0,0,0,0,0,0,0,"OTU13"
"OTU14",0,0,0,0,0,0,0,0,0,0,"OTU14"
"OTU15",0.0064,0.0875,1.51557271296296,0,0,0,0,0,0,0,"OTU15"
"OTU16",0.0125333333333333,0.5,0,0,1.85656018518519,2.15026522222222,56.03536080291,85.0035051970899,30.9435438981481,25.5551344986772,"OTU16"
"OTU17",0.0862666666666667,3.48333333333333,15.0139851851852,0.746444861111111,2.1727244047619,3.47187902777778,1.59045655555556,0,0,0.715049768518518,"OTU17"
"OTU18",0.0634666666666667,7.99,0,3.92891130555556,14.8504411058201,22.1360892724868,7.86375299603174,3.89848222222222,5.05401888888889,0,"OTU18"
"OTU19",0.144,3.72708333333333,19.1000098425926,0.724966083333334,4.61019562698413,38.2773910952381,0,20.628438212963,0,0,"OTU19"
"OTU20",0.0829333333333333,15.785,18.3504541481481,0,0.874075158730159,34.536189031746,0,23.984628021164,5.94123938492064,15.0369330780423,"OTU20"
